CLF	DLS	ISIS	NAME	UNITS	UNITS_LONG_VERSION	SEARCHABLE	NUMERIC_VALUE	NON_NUMERIC_VALUE_FORMAT	IS_SAMPLE_PARAMETER	IS_DATASET_PARAMETER	IS_DATAFILE_PARAMETER	DESCRIPTION	VERIFIED	SEQ_NUMBER	MOD_ID	MOD_TIME	CREATE_TIME	CREATE_ID	FACILITY_ACQUIRED	DELETED
n	n	y	seter1	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter1	VOLTS	VOLTS	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter2	C	C	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter2	CELSIUS	CELSIUS	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter2	CENTIGRA	CENTIGRA	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter2	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter3	DEGREES	DEGREES	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter3	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter4	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	seter5	DEGREES	DEGREES	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
