CLF	DLS	ISIS	NAME	UNITS	UNITS_LONG_VERSION	SEARCHABLE	NUMERIC_VALUE	NON_NUMERIC_VALUE_FORMAT	IS_SAMPLE_PARAMETER	IS_DATASET_PARAMETER	IS_DATAFILE_PARAMETER	DESCRIPTION	VERIFIED	SEQ_NUMBER	MOD_ID	MOD_TIME	CREATE_TIME	CREATE_ID	FACILITY_ACQUIRED	DELETED
n	n	y	rlower	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	rloweri	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	rot	DEGREES	DEGREES	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	rot	KELVIN	KELVIN	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	rot	MM	MM	Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	rot	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	rotccr	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	rotcs	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	rrot	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	rroti	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	rto	N/A		Y	Y		U	U	Y		Y	1.00	FIRST PROPAGATION	12/09/2007 13:48:42.1	12/09/2007 13:48:42.1	FIRST PROPAGATION	Y	N
n	n	y	run_duration	sec	seconds	Y	Y		N	N	N		Y	1.00	ICATISIS_DEV_NEW	12/09/2007 13:30:16.6	12/09/2007 13:30:16.6	FROM SPREADSHEET	Y	N
