Start Date	RB No.	Runs from	Runs to	Company	Company Contacts	Other Contacts	Instrument Contacts	
01/03/2004	14908	7034	7068	GSK	Rex Hjelm (LANSCE)	Elizabeth McLean (DARTS)	"Richard Heenan, Steve King"	
18/03/2004	15461	8079	8192	Unilever	Ian Tucker	Jeff Penfold (ISIS)	"Richard Heenan, Steve King"	
18/11/2004	21000	10649	10875	Unilever	"Ian Tucker, Neil?, Sam?"	Jeff Penfold (ISIS)	"Richard Heenan, Steve King"	
09/02/2005	21000	11886	12175	Unilever	Ian Tucker	Jeff Penfold (ISIS)	"Richard Heenan, Steve King"	
23/05/2005	20388	15280	15434	Infineum	Peter Dowding	Dave Steytler (UEA)	"Richard Heenan, Steve King"	
13/06/2005	21009	15921	16294	Unilever	Ian Tucker	Jeff Penfold (ISIS)	"Richard Heenan, Steve King"	
23/11/2005	550001	21383	21605	Unilever	Ian Tucker	Jeff Penfold (ISIS)	"Richard Heenan, Steve King"	
28/11/2005	550002	21717	21971	Unilever	Ian Tucker	Jeff Penfold (ISIS)	"Richard Heenan, Steve King"	
13/12/2005	550003	22738	22826	Unilever	Ian Tucker	Jeff Penfold (ISIS)	"Richard Heenan, Steve King"	
14/12/2005	550002	22827	22985	Unilever	Ian Tucker	Jeff Penfold (ISIS)	"Richard Heenan, Steve King"
05/07/2006	550001	28327	28461	Unilever	Ian Tucker	Jeff Penfold (ISIS)	"Richard Heenan, Steve King, Ann Terry"
29/09/2006	550001	31207	31306	Unilever	Ian Tucker	Jeff Penfold (ISIS)	"Richard Heenan, Steve King, Ann Terry"
							
